original_name,clean_name,category,weight,unit,pack_size,packaging_type,old_edge_case,new_edge_case,description
Cốc giấy 6oz (Dây),Cốc giấy 6oz,,,,,,No Weight,No Weight,Không có weight/volume trong tên
Cốc giấy 7Oz (Dây),Cốc giấy 7Oz,,,,,,No Weight,No Weight,Không có weight/volume trong tên
Cốc giấy trắng (Cái),Cốc giấy trắng,Dụng cụ phòng ăn và nhà bếp,,,,,No Weight,No Weight,Không có weight/volume trong tên
Cốc giấy vietcup (TÚI),Cốc giấy vietcup,Dụng cụ phòng ăn và nhà bếp,,,,,No Weight,No Weight,Không có weight/volume trong tên
DIANA Cool Fresh hàng ngày 20m (Cái),DIANA Cool Fresh hàng ngày 20m,Chăm sóc cơ thể,,,,,No Weight,No Weight,Không có weight/volume trong tên
DIANA sensi hàng ngày kháng khuẩn 20m (Cái),DIANA sensi hàng ngày kháng khuẩn 20m,Chăm sóc cơ thể,,,,,No Weight,No Weight,Không có weight/volume trong tên
DOVE ST Serum Tái Tạo Độ Ẩm 500g (Chai),DOVE ST Serum Tái Tạo Độ Ẩm,Chăm sóc cơ thể,500.0,g,,,No Weight,Standard,Không có weight/volume trong tên
Dao tem Croma Stabil (Hộp),Dao tem Croma Stabil,Chăm sóc cơ thể,,,,,No Weight,No Weight,Không có weight/volume trong tên
Diana Sensi siêu mỏng cánh 20m (Cái),Diana Sensi siêu mỏng cánh 20m,Chăm sóc cơ thể,,,,,No Weight,No Weight,Không có weight/volume trong tên
Diana Siêu thấm Siêu mỏng cánh (Gói),Diana Siêu thấm Siêu mỏng cánh,Chăm sóc cơ thể,,,,,No Weight,No Weight,Không có weight/volume trong tên
Diana SuperNight 3 miếng 35cm (Cái),Diana SuperNight 3 miếng 35cm,Chăm sóc cơ thể,,,,,No Weight,No Weight,Không có weight/volume trong tên
Diana sensi Coolfesh siêu mỏng cánh 20m (Cái),Diana sensi Coolfesh siêu mỏng cánh 20m,Chăm sóc cơ thể,,,,,No Weight,No Weight,Không có weight/volume trong tên
Diana sensi Coolfresh đêm SMC 4m 29cm (Cái),Diana sensi Coolfresh đêm SMC 4m 29cm,Chăm sóc cơ thể,,,,,No Weight,No Weight,Không có weight/volume trong tên
Diana sensi hàng ngày kháng khuẩn 8m (Cái),Diana sensi hàng ngày kháng khuẩn 8m,Chăm sóc cơ thể,,,,,No Weight,No Weight,Không có weight/volume trong tên
Diana siêu thấm siêu mỏng cánh 20 (Cái),Diana siêu thấm siêu mỏng cánh 20,Chăm sóc cơ thể,,,,,No Weight,No Weight,Không có weight/volume trong tên
Durex - Bao Cao Su Fetherlite 3S (Gói),Durex - Bao Cao Su Fetherlite 3S,Chăm sóc sức khỏe,,,,,No Weight,No Weight,Không có weight/volume trong tên
Durex - Bao Cao Su Pleasuremax 3S (Gói),Durex - Bao Cao Su Pleasuremax 3S,Chăm sóc sức khỏe,,,,,No Weight,No Weight,Không có weight/volume trong tên
Durex - Bao Cao Su Sensual Strawberry 3S (Gói),Durex - Bao Cao Su Sensual Strawberry 3S,Chăm sóc sức khỏe,,,,,No Weight,No Weight,Không có weight/volume trong tên
Dâu VIP (Hộp),Dâu VIP,Trái cây,,,,,No Weight,No Weight,Không có weight/volume trong tên
Dây dầu xả Dove serum phục hồi hư tổn 17255 (Gói),Dây dầu xả Dove serum phục hồi hư tổn 17255,Chăm sóc tóc và da đầu,,,,,No Weight,No Weight,Không có weight/volume trong tên
Dầu gạo lứt Coba 1L (Chai),Dầu gạo lứt Coba,Dầu ăn,1.0,l,,,No Weight,Standard,Không có weight/volume trong tên
Dầu simply hướng dương 1L (Chai),Dầu simply hướng dương,Dầu ăn,1.0,l,,,No Weight,Standard,Không có weight/volume trong tên
Dầu ăn cao cấp Meizan Gold 1L (Chai),Dầu ăn cao cấp Meizan Gold,Dầu ăn,1.0,l,,,No Weight,Standard,Không có weight/volume trong tên
Dầu ăn thượng hạng Neptune Light 5L (Can),Dầu ăn thượng hạng Neptune Light,Dầu ăn,5.0,l,,,No Weight,Standard,Không có weight/volume trong tên
Dầu đậu nành Coba 1L (Chai),Dầu đậu nành Coba,Dầu ăn,1.0,l,,,No Weight,Standard,Không có weight/volume trong tên
Dầu đậu nành Meizan 1L (Chai),Dầu đậu nành Meizan,Dầu ăn,1.0,l,,,No Weight,Standard,Không có weight/volume trong tên
Dầu đậu nành Simply 1L (Chai),Dầu đậu nành Simply,Dầu ăn,1.0,l,,,No Weight,Standard,Không có weight/volume trong tên
FANTA CREAM SC SF SAVING PACK 320ml (Cái),FANTA CREAM SC SF SAVING PACK,Nước ngọt,320.0,ml,,,No Weight,Standard,Không có weight/volume trong tên
FANTA GRAPE SC SF SAVING PACK 320ml (Cái),FANTA GRAPE SC SF SAVING PACK,Nước ngọt,320.0,ml,,,No Weight,Standard,Không có weight/volume trong tên
FUZE TEA LEMONGRASS 1L (Cái),FUZE TEA LEMONGRASS,Nước ngọt,1.0,l,,,No Weight,Standard,Không có weight/volume trong tên
FUZE TEA LEMONGRASS Chanh xả 450ML (Chai),FUZE TEA LEMONGRASS Chanh xả,Nước ngọt,450.0,ml,,,No Weight,Standard,Không có weight/volume trong tên
GEORGIA MAX COFFEE CARTON 180ml (Lon),GEORGIA MAX COFFEE CARTON,Nước ngọt,180.0,ml,,,No Weight,Standard,Không có weight/volume trong tên
Ghim dập e0010N (Hộp),Ghim dập e0010N,Văn phòng phẩm,,,,,No Weight,No Weight,Không có weight/volume trong tên
Gia vị thuốc bắc gà tần (Gói),Gia vị thuốc bắc gà tần,Gia vị,,,,,No Weight,No Weight,Không có weight/volume trong tên
Giấy bạc cuộn dài (CUỘN),Giấy bạc cuộn dài,Sửa chữa nhà cửa,,,,,No Weight,No Weight,Không có weight/volume trong tên
Giấy phân trang 5 màu W7154 (Tệp),Giấy phân trang 5 màu W7154,Văn phòng phẩm,,,,,No Weight,No Weight,Không có weight/volume trong tên
Giấy rút đa năng Hasu gói 1280 tờ (Gói),Giấy rút đa năng Hasu gói 1280 tờ,Chăm sóc cá nhân khác,,,,,No Weight,No Weight,Không có weight/volume trong tên
Giấy rút đa năng LUMINA 1280 tờ (Gói),Giấy rút đa năng LUMINA 1280 tờ,Chăm sóc cá nhân khác,,,,,No Weight,No Weight,Không có weight/volume trong tên
Giấy vệ sinh Hasu 12 cuộn (Dây),Giấy vệ sinh Hasu 12 cuộn,Chăm sóc cá nhân khác,,,,,No Weight,No Weight,Không có weight/volume trong tên
Giấy vệ sinh cuộn công nghiệp 1Kg (Cuộn),Giấy vệ sinh cuộn công nghiệp,"Giấy vệ sinh, khăn giấy",1.0,kg,,,No Weight,Standard,Không có weight/volume trong tên
Gum HD white 15 vỉ (Vỉ),Gum HD white 15 vỉ,Kẹo,,,,,No Weight,No Weight,Không có weight/volume trong tên
Gáo đại tay (Cái),Gáo đại tay,Hàng Khuyến Mãi,,,,,No Weight,No Weight,Không có weight/volume trong tên
Găng cao su cầu vồng mini (ĐÔI),Găng cao su cầu vồng mini,,,,,,No Weight,No Weight,Không có weight/volume trong tên
Găng cầu vồng dài (ĐÔI),Găng cầu vồng dài,,,,,,No Weight,No Weight,Không có weight/volume trong tên
Găng cầu vồng trung (ĐÔI),Găng cầu vồng trung,,,,,,No Weight,No Weight,Không có weight/volume trong tên
HASU NG LOVELY FOR BABAY 2.6L (Can),HASU NG LOVELY FOR BABAY,Vệ sinh nhà cửa,2.6,l,,,No Weight,Standard,Không có weight/volume trong tên
HASU NLS Lyly 1L (Chai),HASU NLS Lyly,Vệ sinh nhà cửa,1.0,l,,,No Weight,Standard,Không có weight/volume trong tên
HASUKOOK dầu đậu nành NK Nga can 5L (Can),HASUKOOK dầu đậu nành NK Nga can,Dầu ăn,5.0,l,,,No Weight,Standard,Không có weight/volume trong tên
HASUKOOK dầu đậu nành NK Nga chai 1L (Chai),HASUKOOK dầu đậu nành NK Nga chai,Dầu ăn,1.0,l,,,No Weight,Standard,Không có weight/volume trong tên
HS Nến đôi T01 hoa Thái không lá 2 cốc (Hộp),HS Nến đôi T01 hoa Thái không lá,Văn phòng phẩm,,,2,cốc,No Weight,Pack Only (No Weight),Không có weight/volume trong tên
HS01 – Đại Lộc Khai Niên (Set),HS01 – Đại Lộc Khai Niên,Sự kiện,,,,,No Weight,No Weight,Không có weight/volume trong tên
HS02 – Tân Niên Hồng Phát (Set),HS02 – Tân Niên Hồng Phát,Sự kiện,,,,,No Weight,No Weight,Không có weight/volume trong tên
HS03 - Tấn Tài Tấn Lộc (Set),HS03 - Tấn Tài Tấn Lộc,Sự kiện,,,,,No Weight,No Weight,Không có weight/volume trong tên
HS04 - Kim Tài Phát Vượng (Set),HS04 - Kim Tài Phát Vượng,Sự kiện,,,,,No Weight,No Weight,Không có weight/volume trong tên
HS07- Mã Đáo Thành Công (Set),HS07- Mã Đáo Thành Công,Sự kiện,,,,,No Weight,No Weight,Không có weight/volume trong tên
HS11-HỒNG TỬU KHAI XUÂN (Set),HS11-HỒNG TỬU KHAI XUÂN,Sự kiện,,,,,No Weight,No Weight,Không có weight/volume trong tên
HS12-AN KHANG PHÚC KHỞI (Túi),HS12-AN KHANG PHÚC KHỞI,Sự kiện,,,,,No Weight,No Weight,Không có weight/volume trong tên
HS13-CÁT HỶ VIÊN MÃN (Túi),HS13-CÁT HỶ VIÊN MÃN,Sự kiện,,,,,No Weight,No Weight,Không có weight/volume trong tên
HS14-THANH NHÀN TỰ TẠI (Túi),HS14-THANH NHÀN TỰ TẠI,Sự kiện,,,,,No Weight,No Weight,Không có weight/volume trong tên
HS15-NGỌT LÀNH SUM VẦY (Set),HS15-NGỌT LÀNH SUM VẦY,Sự kiện,,,,,No Weight,No Weight,Không có weight/volume trong tên
HS16-AN VỊ ĐỦ ĐẦY (Set),HS16-AN VỊ ĐỦ ĐẦY,Sự kiện,,,,,No Weight,No Weight,Không có weight/volume trong tên
HS17-TỤ HỶ CÁT TƯỜNG (Set),HS17-TỤ HỶ CÁT TƯỜNG,Sự kiện,,,,,No Weight,No Weight,Không có weight/volume trong tên
HS18-HỒNG LỘC KHAI XUÂN (Set),HS18-HỒNG LỘC KHAI XUÂN,Sự kiện,,,,,No Weight,No Weight,Không có weight/volume trong tên
HS19-HỒNG TỬU KHAI XUÂN(ver2) (Set),HS19-HỒNG TỬU KHAI XUÂN(ver2),Sự kiện,,,,,No Weight,No Weight,Không có weight/volume trong tên
HS20-NGŨ VỊ SUM VẦY (Set),HS20-NGŨ VỊ SUM VẦY,Sự kiện,,,,,No Weight,No Weight,Không có weight/volume trong tên
HS21-NGŨ VỊ SUM VẦY(ver2) (Set),HS21-NGŨ VỊ SUM VẦY(ver2),Sự kiện,,,,,No Weight,No Weight,Không có weight/volume trong tên
HS22-NGŨ VỊ TINH HOA (Set),HS22-NGŨ VỊ TINH HOA,Sự kiện,,,,,No Weight,No Weight,Không có weight/volume trong tên
HS23-NGŨ VỊ TINH HOA(ver2) (Set),HS23-NGŨ VỊ TINH HOA(ver2),Sự kiện,,,,,No Weight,No Weight,Không có weight/volume trong tên
HS24-HẢO VỊ AN NHIÊN (Set),HS24-HẢO VỊ AN NHIÊN,Sự kiện,,,,,No Weight,No Weight,Không có weight/volume trong tên
HS25-TỬU TÂM HỘI VỊ (Set),HS25-TỬU TÂM HỘI VỊ,Sự kiện,,,,,No Weight,No Weight,Không có weight/volume trong tên
Hasu Giấy ăn rút cao cấp gói 500 tờ (Gói),Hasu Giấy ăn rút cao cấp gói 500 tờ,Chăm sóc cá nhân khác,,,,,No Weight,No Weight,Không có weight/volume trong tên
Hasucare khăn ướt gói 60 tờ (Gói),Hasucare khăn ướt gói 60 tờ,Chăm sóc cá nhân khác,,,,,No Weight,No Weight,Không có weight/volume trong tên
Hành Tây túi lưới (Cái),Hành Tây túi lưới,"Rau, củ",,,,,No Weight,No Weight,Không có weight/volume trong tên
Hạnh nhân rang bơ thủy tinh bé (Lọ),Hạnh nhân rang bơ thủy tinh bé,"Yến mạch, ngũ cốc dinh dưỡng",,,,,No Weight,No Weight,Không có weight/volume trong tên
Hạt dẻ cười thủy tinh bé (Lọ),Hạt dẻ cười thủy tinh bé,"Yến mạch, ngũ cốc dinh dưỡng",,,,,No Weight,No Weight,Không có weight/volume trong tên
Hạt nêm Knorr từ thịt 1.8 kg (Gói),Hạt nêm Knorr từ thịt,Gia vị,1.8,kg,,,No Weight,Standard,Không có weight/volume trong tên
Hạt nêm Knorr từ thịt gói 170g (Gói),Hạt nêm Knorr từ thịt gói,Gia vị,170.0,g,,,No Weight,Standard,Không có weight/volume trong tên
Hảo hảo hương vị mì tôm chua cay 75g (Gói),Hảo hảo hương vị mì tôm chua cay,Thực phẩm ăn liền,75.0,g,,,No Weight,Standard,Không có weight/volume trong tên
Hộp Quà CPIE Tết Ori Đậm (Hộp),Hộp Quà CPIE Tết Ori Đậm,Bánh,,,,,No Weight,No Weight,Không có weight/volume trong tên
Hộp Quà CSTS Tết Ori Cốm (Hộp),Hộp Quà CSTS Tết Ori Cốm,Bánh,,,,,No Weight,No Weight,Không có weight/volume trong tên
Hộp xe hoa nhiều màu (Cái),Hộp xe hoa nhiều màu,Đồ chơi,,,,,No Weight,No Weight,Không có weight/volume trong tên
Hộp xe địa hình 6688 (Cái),Hộp xe địa hình 6688,Đồ chơi,,,,,No Weight,No Weight,Không có weight/volume trong tên
Kem CHOCO MALT (Que),Kem CHOCO MALT,Kem,,,,,No Weight,No Weight,Không có weight/volume trong tên
Kem CHOCO MELT  (Que),Kem CHOCO MELT,Kem,,,,,No Weight,No Weight,Không có weight/volume trong tên
Kem CHOCOLATE CRISPY (Que),Kem CHOCOLATE CRISPY,Kem,,,,,No Weight,No Weight,Không có weight/volume trong tên
Kem CHOCOLATE SUNDAE (Ly),Kem CHOCOLATE SUNDAE,Kem,,,,,No Weight,No Weight,Không có weight/volume trong tên
Kem CRISPY BALLS (Que),Kem CRISPY BALLS,Kem,,,,,No Weight,No Weight,Không có weight/volume trong tên
Kem FRUTYROLL (Que),Kem FRUTYROLL,Kem,,,,,No Weight,No Weight,Không có weight/volume trong tên
Kem MIKI - MIKI 35ml (Que),Kem MIKI - MIKI,Kem,35.0,ml,,,No Weight,Standard,Không có weight/volume trong tên
Kem MILK CEREAL CRISPY (Cái),Kem MILK CEREAL CRISPY,Kem,,,,,No Weight,No Weight,Không có weight/volume trong tên
Kem MILK MELON (Que),Kem MILK MELON,Kem,,,,,No Weight,No Weight,Không có weight/volume trong tên
Kem MOCHI DURIAN (Cái),Kem MOCHI DURIAN,Kem,,,,,No Weight,No Weight,Không có weight/volume trong tên
Kem MOCHI MANGO (Cái),Kem MOCHI MANGO,Kem,,,,,No Weight,No Weight,Không có weight/volume trong tên
Kem MOCHI PEACH (Cái),Kem MOCHI PEACH,Kem,,,,,No Weight,No Weight,Không có weight/volume trong tên
Kem MOONG BEAN KACANG IJO (Que),Kem MOONG BEAN KACANG IJO,Kem,,,,,No Weight,No Weight,Không có weight/volume trong tên
Kem SEMANGKA (Que),Kem SEMANGKA,Kem,,,,,No Weight,No Weight,Không có weight/volume trong tên
Kem STRAWBERRY (Que),Kem STRAWBERRY,Kem,,,,,No Weight,No Weight,Không có weight/volume trong tên
Kem STRAWBERRY CRISPY 90ml (Que),Kem STRAWBERRY CRISPY,Kem,90.0,ml,,,No Weight,Standard,Không có weight/volume trong tên
Kem STRAWBERRY SUNDAE (Ly),Kem STRAWBERRY SUNDAE,Kem,,,,,No Weight,No Weight,Không có weight/volume trong tên
Kem SWEET CORN (Que),Kem SWEET CORN,Kem,,,,,No Weight,No Weight,Không có weight/volume trong tên
Keo 502 (LỌ),Keo 502,Văn phòng phẩm,,,,,No Weight,No Weight,Không có weight/volume trong tên
Khay bạc (Túi),Khay bạc,Sửa chữa nhà cửa,,,,,No Weight,No Weight,Không có weight/volume trong tên
Khoai Tây 20k (Gói(Khoai Tây Classic)),Khoai Tây 20k (Gói(Khoai Tây Classic)),"Snack, đồ ăn vặt",,,,,No Weight,No Weight,Không có weight/volume trong tên
Khoai Tây Bi to (Gói),Khoai Tây Bi to,Thực phẩm đông lạnh,,,,,No Weight,No Weight,Không có weight/volume trong tên
Khoai lang kén (Gói),Khoai lang kén,Thực phẩm đông lạnh,,,,,No Weight,No Weight,Không có weight/volume trong tên
Khô bò xé sợi fansipan  (Gói),Khô bò xé sợi fansipan,"Snack, đồ ăn vặt",,,,,No Weight,No Weight,Không có weight/volume trong tên
Khăn Giấy Rút Gấu Cao Cấp Hasu 300 Tờ (Gói),Khăn Giấy Rút Gấu Cao Cấp Hasu 300 Tờ,Chăm sóc cá nhân khác,,,,,No Weight,No Weight,Không có weight/volume trong tên
Khăn Tắm 50*100mm (Cái),Khăn Tắm 50*100mm,Đồ dùng phòng tắm,,,,,No Weight,No Weight,Không có weight/volume trong tên
Khăn giấy rút cao cấp Hoa đào Hasu gói 300 tờ (Gói),Khăn giấy rút cao cấp Hoa đào Hasu gói 300 tờ,Chăm sóc cá nhân khác,,,,,No Weight,No Weight,Không có weight/volume trong tên
Khăn lau đa năng to sz 35*75mm (Cái),Khăn lau đa năng to sz 35*75mm,Chăm sóc cá nhân khác,,,,,No Weight,No Weight,Không có weight/volume trong tên
Khăn mặt 28*46mm (Cái),Khăn mặt 28*46mm,Đồ dùng phòng tắm,,,,,No Weight,No Weight,Không có weight/volume trong tên
Khăn đa năng màu bé (CÁI),Khăn đa năng màu bé,Chăm sóc cá nhân khác,,,,,No Weight,No Weight,Không có weight/volume trong tên
Khăn đa năng trắng (Cái),Khăn đa năng trắng,Chăm sóc cá nhân khác,,,,,No Weight,No Weight,Không có weight/volume trong tên
Khăn ướt Niva 100 tờ (Cái),Khăn ướt Niva 100 tờ,"Giấy vệ sinh, khăn giấy",,,,,No Weight,No Weight,Không có weight/volume trong tên
Khẩu trang 5D (Gói),Khẩu trang 5D,,,,,,No Weight,No Weight,Không có weight/volume trong tên
Khẩu trang 6A (Gói),Khẩu trang 6A,,,,,,No Weight,No Weight,Không có weight/volume trong tên
Khẩu trang niva trẻ em hộp (Hộp),Khẩu trang niva trẻ em hộp,Chăm sóc cá nhân khác,,,,,No Weight,No Weight,Không có weight/volume trong tên
Kun Hương Cam 85ml (Chai),Kun Hương Cam,Sữa nước các loại,85.0,ml,,,No Weight,Standard,Không có weight/volume trong tên
Kéo văn phòng E6009 180mm (Chiếc),Kéo văn phòng E6009 180mm,Văn phòng phẩm,,,,,No Weight,No Weight,Không có weight/volume trong tên
KẸO DẺO KING CHUN 25g (Gói),KẸO DẺO KING CHUN,Kẹo,25.0,g,,,No Weight,Standard,Không có weight/volume trong tên
KẸO DỒI NĐP TRÒN 220g (Gói),KẸO DỒI NĐP TRÒN,"Snack, đồ ăn vặt",220.0,g,,,No Weight,Standard,Không có weight/volume trong tên
KẸO HỌNG QUẤT MẬT ONG 84g (Gói),KẸO HỌNG QUẤT MẬT ONG,Kẹo,84.0,g,,,No Weight,Standard,Không có weight/volume trong tên
KẸO LẠC 10 THANH TO 220g (Gói),KẸO LẠC 10 THANH TO,"Snack, đồ ăn vặt",220.0,g,,,No Weight,Standard,Không có weight/volume trong tên
Kẹo ALP Hương dâu kem  (Thỏi),Kẹo ALP Hương dâu kem,Kẹo,,,,,No Weight,No Weight,Không có weight/volume trong tên
Kẹo ALP Hương sữa caramen  (Thỏi),Kẹo ALP Hương sữa caramen,Kẹo,,,,,No Weight,No Weight,Không có weight/volume trong tên
Kẹo Golia Active plus (Thỏi),Kẹo Golia Active plus,Kẹo,,,,,No Weight,No Weight,Không có weight/volume trong tên
Kẹo dẻo Boom DÂY Dâu 25g (Gói),Kẹo dẻo Boom DÂY Dâu,Kẹo,25.0,g,,,No Weight,Standard,Không có weight/volume trong tên
Kẹo dẻo Boom DÂY Nho 25g (Gói),Kẹo dẻo Boom DÂY Nho,Kẹo,25.0,g,,,No Weight,Standard,Không có weight/volume trong tên
Kẹo dẻo Boom DÂY Đào 25g (Gói),Kẹo dẻo Boom DÂY Đào,Kẹo,25.0,g,,,No Weight,Standard,Không có weight/volume trong tên
Kẹo dẻo BoomChanhDây 24g (Gói),Kẹo dẻo BoomChanhDây,Kẹo,24.0,g,,,No Weight,Standard,Không có weight/volume trong tên
Kẹo mè xửng túi Kim Thành (Gói),Kẹo mè xửng túi Kim Thành,Kẹo,,,,,No Weight,No Weight,Không có weight/volume trong tên
Kẹo mút CC ChấmMút Dâu (Gói),Kẹo mút CC ChấmMút Dâu,Kẹo,,,,,No Weight,No Weight,Không có weight/volume trong tên
Kẹo mềm sugus trái cây ly 48 thanh (Thanh),Kẹo mềm sugus trái cây ly 48 thanh,Kẹo,,,,,No Weight,No Weight,Không có weight/volume trong tên
Kẹo ngậm DM peppermint tuýp 35 viên (Lọ),Kẹo ngậm DM peppermint tuýp 35 viên,Kẹo,,,,,No Weight,No Weight,Không có weight/volume trong tên
Kẹo nhai MT Bạc hà 16thỏi (Thỏi),Kẹo nhai MT Bạc hà 16thỏi,Kẹo,,,,,No Weight,No Weight,Không có weight/volume trong tên
Kẹo sing-gum CAME hũ 100 viên (Lọ),Kẹo sing-gum CAME hũ 100 viên,Kẹo,,,,,No Weight,No Weight,Không có weight/volume trong tên
Kẹo sing-gum CAME hũ 40 viên (Lọ),Kẹo sing-gum CAME hũ 40 viên,Kẹo,,,,,No Weight,No Weight,Không có weight/volume trong tên
Kẹo sing-gum CAME ly  (Cái),Kẹo sing-gum CAME ly,Kẹo,,,,,No Weight,No Weight,Không có weight/volume trong tên
Kẹo sing-gum DMPP hũ 40 viên (Lọ),Kẹo sing-gum DMPP hũ 40 viên,Kẹo,,,,,No Weight,No Weight,Không có weight/volume trong tên
KẹodẻoBoomDây XoàiỚt 23.5g (Gói),KẹodẻoBoomDây XoàiỚt,Kẹo,23.5,g,,,No Weight,Standard,Không có weight/volume trong tên
LACTACYD DDVSPN ODOR FRESH 150ML (Cái),LACTACYD DDVSPN ODOR FRESH,,150.0,ml,,,No Weight,Standard,Không có weight/volume trong tên
LC- Mực vòng chiên giòn 300G (Gói),LC- Mực vòng chiên giòn,Thực phẩm đông lạnh,300.0,g,,,No Weight,Standard,Không có weight/volume trong tên
LIPTON ICETEA CHANH_LY THUY TINH ONG HUT (Hộp),LIPTON ICETEA CHANH_LY THUY TINH ONG HUT,Trà,,,,,No Weight,No Weight,Không có weight/volume trong tên
LOTUS giấy rút cao cấp gói 300 tờ (Gói),LOTUS giấy rút cao cấp gói 300 tờ,"Giấy vệ sinh, khăn giấy",,,,,No Weight,No Weight,Không có weight/volume trong tên
LU Bánh Quy Bơ Thập Cẩm 180g (Hộp),LU Bánh Quy Bơ Thập Cẩm,Bánh,180.0,g,,,No Weight,Standard,Không có weight/volume trong tên
Lay\'s Tom Cang Dut Lo Pho Mai 32g (Gói),Lay\'s Tom Cang Dut Lo Pho Mai,"Snack, đồ ăn vặt",32.0,g,,,No Weight,Standard,Không có weight/volume trong tên
Lay\'s Wavy vi Pho Mai Cheddar 30g (Gói),Lay\'s Wavy vi Pho Mai Cheddar,"Snack, đồ ăn vặt",30.0,g,,,No Weight,Standard,Không có weight/volume trong tên
Lay\'s Wavy vi Than Bo Nuong Texas 30g (Gói),Lay\'s Wavy vi Than Bo Nuong Texas,"Snack, đồ ăn vặt",30.0,g,,,No Weight,Standard,Không có weight/volume trong tên
Lay\'s vi Khoai Tay Tu Nhien Classic 30g (Gói),Lay\'s vi Khoai Tay Tu Nhien Classic,"Snack, đồ ăn vặt",30.0,g,,,No Weight,Standard,Không có weight/volume trong tên
Lay\'s vi Suon Nuong BBQ Brazil 30g (Gói),Lay\'s vi Suon Nuong BBQ Brazil,"Snack, đồ ăn vặt",30.0,g,,,No Weight,Standard,Không có weight/volume trong tên
Lay\'s vi Tao Bien Nori 30g (Gói),Lay\'s vi Tao Bien Nori,"Snack, đồ ăn vặt",30.0,g,,,No Weight,Standard,Không có weight/volume trong tên
Lotte Xyliton Strawberry mint vỷ 11.6g (Vỉ),Lotte Xyliton Strawberry mint vỷ,Kẹo,11.6,g,,,No Weight,Standard,Không có weight/volume trong tên
Lovenose xịt thơm hương oải hương (Lọ),Lovenose xịt thơm hương oải hương,Vệ sinh nhà cửa,,,,,No Weight,No Weight,Không có weight/volume trong tên
Lovenose xịt thơm phòng hương dâu 320ml (Chai),Lovenose xịt thơm phòng hương dâu,Vệ sinh nhà cửa,320.0,ml,,,No Weight,Standard,Không có weight/volume trong tên
Lăn ngăn mùi bloom năng động 50ml (Cái),Lăn ngăn mùi bloom năng động,Chăm sóc cơ thể,50.0,ml,,,No Weight,Standard,Không có weight/volume trong tên
Lưới rửa bát (CÁI),Lưới rửa bát,Sửa chữa nhà cửa,,,,,No Weight,No Weight,Không có weight/volume trong tên
Lưới rửa bát (Cái),Lưới rửa bát,Văn phòng phẩm,,,,,No Weight,No Weight,Không có weight/volume trong tên
Lưỡi dao nhỏ 2015 (Cái),Lưỡi dao nhỏ 2015,Văn phòng phẩm,,,,,No Weight,No Weight,Không có weight/volume trong tên
Lạc Nhân (Kg),Lạc Nhân,Thực phẩm đóng hộp,,,,,No Weight,No Weight,Không có weight/volume trong tên
Lạp sưởng HN LC 500g (Gói),Lạp sưởng HN LC,,500.0,g,,,No Weight,Standard,Không có weight/volume trong tên
MONSTER GREEN SLEEK CAN SF trắng 355ml (Cái),MONSTER GREEN SLEEK CAN SF trắng,Nước ngọt,355.0,ml,,,No Weight,Standard,Không có weight/volume trong tên
MTV-FF-2661A Gà Chiên Popcorn 1KG (Gói),MTV-FF-2661A Gà Chiên Popcorn,,1.0,kg,,,No Weight,Standard,Không có weight/volume trong tên
Mi Soda Kem PET 1.5L (Cái),Mi Soda Kem PET,Nước ngọt,1.5,l,,,No Weight,Standard,Không có weight/volume trong tên
Mirinda Cam chai nhựa 330ml (Chai),Mirinda Cam chai nhựa,Nước ngọt,330.0,ml,,,No Weight,Standard,Không có weight/volume trong tên
Mirinda cam 300ml chai (Chai),Mirinda cam chai,Nước ngọt,300.0,ml,,,No Weight,Standard,Không có weight/volume trong tên
Miếng cọ rửa (Cái),Miếng cọ rửa,Dụng cụ phòng ăn và nhà bếp,,,,,No Weight,No Weight,Không có weight/volume trong tên
MÌ LYĂN LIỀN- MÌ BÒ HẦM VỊ CAY (Ly),MÌ LYĂN LIỀN- MÌ BÒ HẦM VỊ CAY,Thực phẩm ăn liền,,,,,No Weight,No Weight,Không có weight/volume trong tên
MÌ TÔ ĂN LIỀN- MÌ YEUL CAY (Tô),MÌ TÔ ĂN LIỀN- MÌ YEUL CAY,Thực phẩm ăn liền,,,,,No Weight,No Weight,Không có weight/volume trong tên
MÌ TÔ ĂN LIỀN-MÌ XỐT TƯƠNG ĐEN (Tô),MÌ TÔ ĂN LIỀN-MÌ XỐT TƯƠNG ĐEN,Thực phẩm ăn liền,,,,,No Weight,No Weight,Không có weight/volume trong tên
MÌ YEUL CAY 5gói (Gói),MÌ YEUL CAY 5gói,Thực phẩm ăn liền,,,,,No Weight,No Weight,Không có weight/volume trong tên
Màng bọc Duy Anh SG (HỘP),Màng bọc Duy Anh SG,Sửa chữa nhà cửa,,,,,No Weight,No Weight,Không có weight/volume trong tên
Máy sấy tóc Philips 1000W (Cái),Máy sấy tóc Philips 1000W,Sửa chữa nhà cửa,,,,,No Weight,No Weight,Không có weight/volume trong tên
Mì Ly ShinCup 68g (Ly),Mì Ly ShinCup,Thực phẩm ăn liền,68.0,g,,,No Weight,Standard,Không có weight/volume trong tên
Mì Shin Ramyun 120g (Gói),Mì Shin Ramyun,Thực phẩm ăn liền,120.0,g,,,No Weight,Standard,Không có weight/volume trong tên
Mì Siukay Hương Vị Hải Sản (Gói),Mì Siukay Hương Vị Hải Sản,Thực phẩm ăn liền,,,,,No Weight,No Weight,Không có weight/volume trong tên
